Name,Speed,Module,First Word Latency,CAS Latency,Price Per GB,Color,Rating,Review Count,Price
Kingston FURY Beast 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$6.250,Black,4.5,16,$199.99
Corsair Vengeance LPX 16 GB,DDR4-2400,1 x 16GB,11.667 ns,14,$5.374,Black,5,2,$85.99
Klevv BOLT V 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$12.187,Black,5,5,$389.99
Kingston FURY Beast 8 GB,DDR5-5600,1 x 8GB,14.286 ns,40,,Black,0,0,0
TEAMGROUP T-Force Vulcan Z 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$6.562,Gray,4.5,5,$104.99
Patriot Viper Venom 16 GB,DDR5-5200,2 x 8GB,13.846 ns,36,,Black / White,5,4,0
Crucial CT8G4DFS824A 8 GB,DDR4-2400,1 x 8GB,14.167 ns,17,$6.372,Green,4.5,4,$50.98
Corsair Vengeance RGB Pro 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.812,White,4.5,177,$124.99
Corsair Vengeance LPX 8 GB,DDR4-2400,1 x 8GB,13.333 ns,16,$7.372,Black / Yellow,4.5,47,$58.98
Kingston FURY 16 GB,DDR5-5600,1 x 16GB,14.286 ns,40,,White,0,0,0
Corsair Vengeance RGB 128 GB,DDR5-6400,2 x 64GB,13.125 ns,42,$11.680,Black,0,0,$1494.99
Corsair Vengeance LPX 16 GB,DDR4-3000,2 x 8GB,10.667 ns,16,,White,4.5,15,0
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$12.375,Black,5,7,$395.99
Klevv FIT V 32 GB,DDR5-5600,2 x 16GB,10.714 ns,30,$10.312,White,0,0,$329.99
Kingston Server Premier 32 GB,DDR4-2666,1 x 32GB,14.254 ns,19,,,0,0,$549.99
Klevv CRAS V RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,,Black,5,1,0
Corsair Vengeance LPX 32 GB,DDR4-2133,2 x 16GB,12.189 ns,13,$5.187,Black / Yellow,4.5,10,$165.99
Corsair Vengeance LPX 32 GB,DDR4-3600,2 x 16GB,10 ns,18,$5.031,Black / Yellow,4.5,12,$160.99
Kingston FURY Beast RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$12.500,White,5,9,$399.99
Patriot Viper Venom 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$10.468,Black / White,4.5,8,$334.99
TEAMGROUP T-Force Delta RGB 32 GB,DDR5-6000,2 x 16GB,12.667 ns,38,,White,0,0,0
Kingston FURY Beast 16 GB,DDR5-5600,1 x 16GB,14.286 ns,40,$19.558,Black,5,1,$312.93
Crucial Pro 64 GB,DDR5-5600,2 x 32GB,16.429 ns,46,$7.937,Black,4.5,4,$507.99
Corsair Dominator Titanium 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$14.968,White,4.5,12,$478.99
Kingston FURY Beast RGB 16 GB,DDR5-6000,2 x 8GB,12 ns,36,,Black,5,7,0
Kingston FURY Beast 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$11.718,Black,0,0,$374.99
Silicon Power GAMING 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$6.874,Black,4,27,$219.97
Corsair Vengeance 32 GB,DDR5-5600,2 x 16GB,12.857 ns,36,$12.531,Gray,5,3,$400.99
G.Skill Trident Z RGB 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$8.437,Black,4.5,359,$134.99
G.Skill Ripjaws S5 32 GB,DDR5-6400,2 x 16GB,10 ns,32,$13.750,Black,5,10,$439.99
Crucial Pro 32 GB,DDR5-6400,2 x 16GB,11.875 ns,38,$9.968,White,5,1,$318.99
Corsair Vengeance 16 GB,DDR5-5200,1 x 16GB,15.385 ns,40,$12.249,Black,0,0,$195.99
Corsair Vengeance RGB 128 GB,DDR5-5600,4 x 32GB,14.286 ns,40,$13.656,Black,0,0,$1747.99
G.Skill Trident Z5 Neo 128 GB,DDR5-6000,2 x 64GB,10.667 ns,32,$11.719,Black,0,0,$1499.99
Corsair Vengeance 32 GB,DDR5-5200,2 x 16GB,15.385 ns,40,$12.062,Black,4.5,14,$385.99
PNY XLR8 Gaming Low Profile 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$10.474,Black / Red,0,0,$335.16
G.Skill Trident Z5 RGB 64 GB,DDR5-6400,2 x 32GB,10 ns,32,$14.375,Black / Silver,4.5,30,$919.99
Corsair Vengeance LPX 16 GB,DDR4-3200,1 x 16GB,10 ns,16,$5.374,Black / Yellow,5,1,$85.99
G.Skill Trident Z5 Neo RGB 32 GB,DDR5-7200,2 x 16GB,9.444 ns,34,,Silver / Black,0,0,0
Corsair Vengeance LPX 16 GB,DDR4-3600,2 x 8GB,10 ns,18,$7.187,Black,4.5,134,$114.99
Crucial Pro 32 GB,DDR5-6000,2 x 16GB,16 ns,48,$11.875,Black,0,0,$379.99
Kingston FURY Beast RGB 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$11.094,Black,4.5,5,$709.99
Corsair Vengeance LPX 64 GB,DDR4-3200,2 x 32GB,10 ns,16,,Black / Yellow,4.5,21,0
Silicon Power SP016GLLTU160N22 16 GB,DDR3-1600,2 x 8GB,13.75 ns,11,$2.124,Green,4.5,2,$33.99
G.Skill Trident Z RGB 16 GB,DDR4-3600,2 x 8GB,10 ns,18,,Black,4.5,138,0
Corsair Vengeance LPX 16 GB,DDR4-2133,2 x 8GB,12.189 ns,13,$5.937,Black / Yellow,4.5,37,$94.99
G.Skill Ripjaws V 32 GB,DDR4-3600,2 x 16GB,8.889 ns,16,$7.812,Black,4.5,107,$249.99
Kingston HyperX Fury 16 GB,DDR4-3200,2 x 8GB,10 ns,16,,Black / Silver,4.5,37,0
Kingston FURY Beast 16 GB,DDR5-5600,2 x 8GB,12.857 ns,36,$27.882,Black / Silver,4,2,$446.11
Corsair Vengeance 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$13.125,Black / Gray,4.5,11,$839.99
G.Skill Trident Z5 Neo RGB 64 GB,DDR5-6000,2 x 32GB,8.667 ns,26,$16.406,Black,0,0,$1049.99
Corsair Dominator Titanium 64 GB,DDR5-6600,2 x 32GB,9.697 ns,32,$14.922,Black,5,1,$954.99
Corsair Dominator Titanium 32 GB,DDR5-6400,2 x 16GB,10 ns,32,$15.250,Black,0,0,$487.99
TEAMGROUP T-Force Vulcan 16 GB,DDR5-5200,2 x 8GB,15.385 ns,40,,Black,3,1,0
G.Skill Trident Z RGB 64 GB,DDR4-3600,2 x 32GB,10 ns,18,$6.719,Black,4.5,10,$429.99
G.Skill Flare X5 16 GB,DDR5-6000,1 x 16GB,12 ns,36,,Black,4,3,0
Kingston FURY Beast 16 GB,DDR5-6000,2 x 8GB,10 ns,30,,Black,0,0,0
Kingston FURY Beast RGB 32 GB,DDR5-5200,2 x 16GB,15.385 ns,40,,Black,4,2,0
Kingston FURY Beast RGB 32 GB,DDR5-5600,2 x 16GB,12.857 ns,36,$9.500,Black,4.5,7,$304.00
Silicon Power XPOWER Zenith Gaming 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$12.368,White,4,6,$395.79
Patriot Viper Venom 32 GB,DDR5-6400,2 x 16GB,10 ns,32,$10.468,Black / White,5,5,$334.99
TEAMGROUP T-Force Delta RGB 16 GB,DDR4-3600,2 x 8GB,10 ns,18,$7.187,White,4.5,26,$114.99
Kingston Server Premier 64 GB,DDR4-3200,1 x 64GB,13.75 ns,22,$17.657,,0,0,$1130.08
TEAMGROUP T-Create Expert 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.750,White,4.5,40,$439.99
TEAMGROUP Elite 32 GB,DDR4-3200,2 x 16GB,13.75 ns,22,,Black,4.5,3,0
Crucial CT2K8G4DFRA32A 16 GB,DDR4-3200,2 x 8GB,13.75 ns,22,$6.062,Green,5,2,$96.99
Corsair Vengeance RGB 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$13.765,White / Silver,4.5,7,$880.99
G.Skill Flare X5 32 GB,DDR5-6000,2 x 16GB,10.667 ns,32,$13.781,Black,4.5,43,$441.00
ADATA XPG Lancer Blade 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$21.230,Black,5,11,$679.37
TEAMGROUP T-Force Delta RGB 64 GB,DDR5-6000,2 x 32GB,12.667 ns,38,,Black,4,4,0
Lexar Ares RGB 16 GB,DDR4-3866,2 x 8GB,9.312 ns,18,,White,0,0,0
TEAMGROUP T-Force DELTAα RGB 16 GB,DDR5-6000,2 x 8GB,12.667 ns,38,,White,0,0,0
TEAMGROUP T-Force DELTAα RGB 32 GB,DDR5-6000,2 x 16GB,12.667 ns,38,,Black,4,3,0
Patriot Viper Venom 16 GB,DDR5-6000,2 x 8GB,12 ns,36,,Black / Silver,0,0,$199.99
G.Skill Trident Z5 Neo 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$11.656,Black / Silver,4.5,20,$745.99
Crucial Pro 32 GB,DDR4-3200,2 x 16GB,13.75 ns,22,$6.218,Black,4.5,13,$198.99
G.Skill Trident Z RGB 32 GB,DDR4-4000,2 x 16GB,9 ns,18,$6.531,Black,5,5,$209.00
Crucial CP2K64G56C46U5 128 GB,DDR5-5600,2 x 64GB,16.429 ns,46,$7.531,Black,5,1,$963.99
Patriot Signature Line 4 GB,DDR4-2666,1 x 4GB,14.254 ns,19,$3.745,,0,0,$14.98
G.Skill Trident Z RGB 128 GB,DDR4-3600,4 x 32GB,10 ns,18,$5.234,Black,4.5,5,$669.99
ADATA XPG SPECTRIX D50 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.207,White,5,1,$115.32
Kingston FURY Beast 16 GB,DDR4-3200,1 x 16GB,10 ns,16,$7.469,Black,5,2,$119.50
G.Skill Trident Z5 Neo 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$14.062,Black,4.5,27,$449.99
Klevv BOLT X 16 GB,DDR4-3600,2 x 8GB,10 ns,18,$6.374,Black,5,5,$101.99
Kingston KHX8500D2K2/4GR 4 GB,DDR2-1066,2 x 2GB,9.381 ns,5,,Blue,0,0,0
G.Skill Trident Z Neo 32 GB,DDR4-3600,2 x 16GB,8.889 ns,16,$8.281,Black / Silver,4.5,165,$264.99
TEAMGROUP T-Create Classic 32 GB,DDR5-5600,2 x 16GB,16.429 ns,46,$11.500,Black,4.5,4,$367.99
Crucial CT2K16G48C40U5 32 GB,DDR5-4800,2 x 16GB,16.667 ns,40,$10.844,Black,3,3,$347.00
Corsair Dominator Titanium 96 GB,DDR5-6600,2 x 48GB,9.697 ns,32,$12.802,Black,5,1,$1228.99
Kingston FURY Beast 16 GB,DDR5-6000,2 x 8GB,12 ns,36,,Black / Silver,3.5,4,0
G.Skill Trident Z Neo 64 GB,DDR4-3600,2 x 32GB,8.889 ns,16,$6.547,Black / Silver,5,3,$419.00
G.Skill Aegis 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$9.859,Red / Black,4.5,34,$157.75
TEAMGROUP T-Force Vulcan 32 GB,DDR5-5200,2 x 16GB,15.385 ns,40,,Red,0,0,0
Crucial Pro Overclocking 64 GB,DDR5-6400,2 x 32GB,12.5 ns,40,$8.890,Black,4,3,$568.99
Crucial CT2K8G4DFRA266 16 GB,DDR4-2666,2 x 8GB,14.254 ns,19,$5.499,Green,0,0,$87.99
Corsair Dominator Platinum RGB 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$14.531,Black,4,1,$464.99
G.Skill Trident Z5 Royal 32 GB,DDR5-6400,2 x 16GB,9.375 ns,30,$15.937,White,5,2,$509.99
V-Color Manta XSky RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$11.562,Black,5,1,$369.99
Patriot Viper Elite 5 RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.750,White,4.5,6,$439.99
Kingston FURY Beast 32 GB,DDR5-5600,2 x 16GB,14.286 ns,40,$14.062,Black,5,1,$449.99
G.Skill F4-3200C16Q2-128GTZSK 128 GB,DDR4-3200,8 x 16GB,10 ns,16,$7.976,Gray / Black,0,0,$1020.94
Corsair Vengeance RGB Pro SL 32 GB,DDR4-3600,2 x 16GB,10 ns,18,$6.842,White / Black,4.5,45,$218.95
G.Skill Trident Z5 Royal Neo RGB 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$14.922,Silver,5,3,$954.99
G.Skill Ripjaws S5 64 GB,DDR5-6000,2 x 32GB,12 ns,36,$11.406,Black,4.5,2,$729.99
TEAMGROUP T-Force Vulcan Z 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$7.500,Gray,4.5,27,$239.99
TEAMGROUP T-Force Delta RGB 16 GB,DDR4-3600,2 x 8GB,10 ns,18,$9.545,Black,4.5,24,$152.72
Patriot Viper Venom RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$10.937,Black / Silver,4.5,5,$349.99
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$12.375,White,0,0,$395.99
TEAMGROUP Elite Plus 16 GB,DDR5-4800,2 x 8GB,16.667 ns,40,,Black,4,1,0
Corsair Vengeance 32 GB,DDR5-6400,2 x 16GB,11.25 ns,36,$12.375,Black,5,2,$395.99
PNY XLR8 Gaming EPIC-X RGB 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$12.504,Black,4.5,6,$200.06
Crucial Ballistix 16 GB,DDR4-3200,2 x 8GB,10 ns,16,,Black,4.5,78,0
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.375,Black / Silver,4.5,30,$427.99
Kingston FURY Beast 32 GB,DDR5-5600,1 x 32GB,14.286 ns,40,$17.124,Black,5,1,$547.97
G.Skill Ripjaws S5 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.750,Black,4.5,35,$439.99
Corsair Vengeance RGB 32 GB,DDR5-8000,2 x 16GB,9 ns,36,$15.250,Black / Gray,0,0,$487.99
Patriot Viper Steel 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$5.406,Silver / Black,4.5,10,$172.99
Samsung M378A2K43CB1-CTD 16 GB,DDR4-2666,1 x 16GB,14.254 ns,19,$6.234,Green / Black,0,0,$99.75
G.Skill Trident Z5 Neo RGB 32 GB,DDR5-6000,2 x 16GB,8.667 ns,26,$16.875,Black,0,0,$539.99
ADATA XPG GAMMIX D10 32 GB,DDR4-3200,2 x 16GB,10 ns,16,,Black / Silver,5,3,0
Kingston FURY Beast RGB 16 GB,DDR5-5200,2 x 8GB,15.385 ns,40,$20.624,Black,4.5,2,$329.99
Kingston FURY Beast RGB 16 GB,DDR5-6000,1 x 16GB,10 ns,30,,Black,4,1,0
G.Skill Trident Z5 CK RGB 48 GB,DDR5-9600,2 x 24GB,9.583 ns,46,,Black,0,0,0
TEAMGROUP Vulcan Z 16 GB,DDR4-3600,2 x 8GB,10 ns,18,$12.414,Black,4.5,19,$198.63
Crucial CT51264BA160B 4 GB,DDR3-1600,1 x 4GB,13.75 ns,11,$4.000,Green,4,4,$16.00
G.Skill Trident Z5 Neo RGB 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$12.187,Black,4.5,11,$389.99
Supermicro MEM-DR412L-SL02-LR26 128 GB,DDR4-2666,1 x 128GB,16.504 ns,22,,Green / Black,0,0,0
Kingston HyperX Fury 8 GB,DDR4-2666,1 x 8GB,12.003 ns,16,,Black,5,2,0
ADATA XPG Lancer Blade RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,,Black,4.5,7,0
Kingston FURY Beast RGB 32 GB,DDR5-5600,2 x 16GB,12.857 ns,36,,White,0,0,0
Corsair Dominator Platinum 64 GB,DDR4-3200,4 x 16GB,10 ns,16,$14.047,Black / Silver,5,4,$899.00
TEAMGROUP Elite 32 GB,DDR5-4800,2 x 16GB,16.667 ns,40,,Black,4,1,0
Corsair Vengeance RGB RS 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$6.687,Black / Gray,4.5,7,$106.99
G.Skill Ripjaws V 32 GB,DDR4-3600,2 x 16GB,10 ns,18,$7.500,Black,4.5,20,$239.99
Crucial Pro 64 GB,DDR4-3200,2 x 32GB,13.75 ns,22,$6.203,Black / Green,4.5,6,$396.99
Kingston FURY Beast RGB 64 GB,DDR5-6000,2 x 32GB,10 ns,30,,White,4.5,4,0
Lexar THOR 16 GB,DDR4-3200,2 x 8GB,10 ns,16,,Black,5,3,0
TEAMGROUP T-Force Delta RGB 16 GB,DDR4-3200,2 x 8GB,10 ns,16,,Black,3,1,0
OLOy MD4U083216BJDA 16 GB,DDR4-3200,2 x 8GB,10 ns,16,,Black,5,10,0
G.Skill Flare X5 256 GB,DDR5-6000,4 x 64GB,10.667 ns,32,$11.523,Black,0,0,$2949.99
G.Skill Flare X5 32 GB,DDR5-6000,2 x 16GB,9.333 ns,28,$15.625,Black,5,2,$499.99
TEAMGROUP T-Force Delta RGB 64 GB,DDR5-6000,2 x 32GB,12.667 ns,38,$11.406,White,4.5,6,$729.99
Kingston FURY Beast 16 GB,DDR5-5200,1 x 16GB,15.385 ns,40,$19.558,Black / Silver,4,2,$312.93
G.Skill Flare X5 192 GB,DDR5-6000,4 x 48GB,9.333 ns,28,,Black,0,0,0
Kingston FURY Beast RGB 16 GB,DDR5-5600,2 x 8GB,14.286 ns,40,,Black,5,2,0
TEAMGROUP T-Force Delta RGB 32 GB,DDR5-6400,2 x 16GB,10 ns,32,$11.875,White,4.5,4,$379.99
Corsair Vengeance 96 GB,DDR5-6000,2 x 48GB,12 ns,36,$9.382,Black,0,0,$900.70
G.Skill Aegis 16 GB,DDR4-3000,2 x 8GB,10.667 ns,16,$7.499,Black / Red,4.5,77,$119.99
Kingston FURY Beast RGB 32 GB,DDR5-6000,1 x 32GB,10 ns,30,,Black,0,0,0
G.Skill Flare X5 128 GB,DDR5-6000,2 x 64GB,10.667 ns,32,$11.641,Black,0,0,$1489.99
Corsair Dominator Titanium 96 GB,DDR5-7000,2 x 48GB,11.429 ns,40,$12.875,Black,0,0,$1235.99
Thermaltake TOUGHRAM XG RGB D5 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$10.312,Pink / White,5,1,$329.99
Crucial Pro Overclocking 16 GB,DDR5-6000,1 x 16GB,12 ns,36,$13.776,Black,0,0,$220.41
Silicon Power XPOWER Zenith RGB Gaming 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$14.243,White,4.5,8,$455.79
Corsair Vengeance RGB 32 GB,DDR5-7200,2 x 16GB,9.444 ns,34,$14.687,Black,5,1,$469.99
Kingston FURY Beast RGB 64 GB,DDR5-6400,2 x 32GB,10 ns,32,$10.000,Black,5,2,$639.99
